Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Benin,BEN,8.976134361,4.225799419,2.957710826,5.836172088,2.020400448,6.045198648,4.324284031,5.734688377,3.961012138,5.341449372,5.859992101,5.330410857,4.644470026,3.444044849,4.429629024,1.711577628,3.947013747,5.986515522,4.889898637,2.32930121,2.110199297,2.962750351,4.816478241,7.189716312,6.351831941,2.095808383,3.96485991,5.584195081
Burkina Faso,BFA,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,5.373373126,6.626865192,6.452698755,5.792589317,4.326837357,3.894548057,5.924577561,6.742653542
Bangladesh,BGD,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013596067,6.061093054,6.552633316,7.113465228,7.284208377
Bulgaria,BGR,-9.117377097,-8.445355238,-7.272387907,-1.480214829,1.818011241,2.860189441,0.704680678,-1.088820247,3.4627297,-6.009846314,4.940553776,3.770217793,5.9375164,5.156218443,6.435358323,7.123511076,6.874358379,7.344421909,6.021883402,-3.586145625,1.324087801,1.914905853,0.030969869,0.862165094,1.328756736,3.617459615,3.941097844,3.561642856
Bahrain,BHR,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,1.983823256,3.732251521,5.416503715,4.34984233,2.861967825,3.215933639,3.884830534
"Bahamas, The",BHS,-1.596249086,-4.181784638,-3.825582728,0.307806938,3.148916191,4.378751399,4.22353068,2.06223949,4.716482216,7.144114758,4.149243017,2.625684058,2.704561615,-1.264720771,0.88283993,3.395355597,2.516849119,1.446544635,-2.323966973,-4.175260401,1.538777407,0.612897452,3.08668686,-0.410428618,-0.147988573,1.044959524,-1.689549856,1.437191339
Bosnia and Herzegovina,BIH,,,,,,20.80000055,88.9576648,34.38957459,15.59999636,9.599999795,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,8.758230335,5.378476821,5.728756912,5.583127589,-2.98966262,0.86798323,0.955704511,-0.821736963,2.349390744,1.149628083,3.07674732,3.144077384,3.031388275
Belarus,BLR,,-1.19999561,-9.600001258,-7.600001956,-11.700004,-10.40000053,2.800004698,11.40000547,8.399991587,3.399999138,5.800003498,4.725306006,5.045267318,7.043192675,11.44974293,9.400001668,9.999994662,8.600006544,10.1999996,0.199995239,7.793697905,5.543710696,1.731392764,1.023985463,1.723085689,-3.829569366,-2.526450606,2.421906267
Belize,BLZ,10.62857607,10.49704249,12.0357579,6.276563742,0.157938679,0.643973578,1.428722665,3.545178858,3.740956602,8.780371455,13.03876213,5.015662999,5.118559443,9.326537858,4.650468034,2.578742031,4.582560297,1.104310804,3.228494977,0.71311775,3.32444222,2.103950804,3.801292507,0.713299838,4.045302801,3.794991955,-0.486536511,0.883603673
Bermuda,BMU,0.019212296,-3.534383404,-0.059737157,3.008567444,0.599613153,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,,,,
Bolivia,BOL,4.63578591,5.266527472,1.646496933,4.269293696,4.667270435,4.678272586,4.361343058,4.954208743,5.029352337,0.426889577,2.507807553,1.683800939,2.485564847,2.711340707,4.173294318,4.421434767,4.797009171,4.564382752,6.148497195,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752,4.857187895,4.263919404,4.195207019
Brazil,BRA,-3.102355949,1.511937238,-0.46691321,4.665168989,5.334551702,4.416731354,2.207535528,3.395028637,0.338356179,0.469066587,4.11248424,1.382832028,3.054016493,1.139886869,5.764411607,3.196464112,3.957296829,6.060353585,5.090857911,-0.125775154,7.541798636,3.985277615,1.933107889,3.010305581,0.508210254,-3.549767247,-3.468162856,0.976085681
Barbados,BRB,-3.3,-3.9,-7,1.2,3.8,2,4,4.7,3.7,0.4,2.3,-2.4,0.8,2.2,1.4,4,5.7,1.8,0.1,-4,0.3,0.7,0.3,0,0,0.9,2,1.671064204
Brunei Darussalam,BRN,1.089420535,3.145941362,4.758580846,0.304572874,3.145397395,4.47870734,2.878317747,-1.471171572,-0.558508851,3.052157142,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.34974675,-0.566814609,-2.46551471,1.328751395
Bhutan,BTN,10.87643469,-0.407876089,4.600891432,1.98636659,4.95150367,7.074117278,5.565172862,5.373838519,5.914030835,7.983972022,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.745455168,6.597448486,7.990705411,6.818777705
Botswana,BWA,6.772821949,7.458709112,2.917070307,1.916107142,3.627916021,7.030410261,5.829800078,8.026549026,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.276763793,6.245437363,-7.652310203,8.563631748,6.048316367,4.456167213,11.34342425,4.149252786,-1.697930592,4.31550627,2.359197082
Central African Republic,CAF,-2.147528066,-0.552543005,-6.424078199,0.335275685,4.89994941,7.200045558,-4.000092964,5.299936018,4.700142379,3.599974904,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,1.70923922,3.046634733,3.300719157,4.112797869,-36.69995244,1.040018047,4.799886081,4.531285963,4.299938053
Canada,CAN,0.154346036,-2.125692233,0.882976026,2.655235883,4.493474619,2.677708436,1.611048031,4.279812433,3.881759144,5.1632109,5.182690286,1.770819089,3.010016308,1.802273312,3.085961209,3.201382137,2.623412623,2.06274769,1.000360973,-2.949587643,3.08351422,3.141219001,1.745472283,2.475001859,2.855739204,1.000882494,1.414102746,3.047350681
Central Europe and the Baltics,CEB,,-9.742808201,-1.760222013,1.571998541,4.124722496,5.776079007,4.337913181,3.065367941,2.676077445,2.065320345,4.039072185,3.044007033,3.461661745,4.443642362,5.58252185,4.929684443,6.56591168,6.388687589,3.75897445,-3.506608569,1.712525407,3.210544154,0.639478863,1.345862088,2.973749693,3.805115506,3.064467377,4.582488748
Switzerland,CHE,3.674625638,-0.915816563,-0.043733008,-0.125983541,1.269757693,0.480866443,0.540027605,2.340149884,2.989891846,1.694719834,3.936823453,1.312423669,0.162612902,0.039576568,2.7762235,3.11524553,3.988634221,4.111877812,2.154701861,-2.222107121,3.002699108,1.692808495,1.006024097,1.852039757,2.449218097,1.226384359,1.375884496,1.086792219
Channel Islands,CHI,,,,,,,,,,3.770263675,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,,,,,,,,,,
